"legtype","agrarea","indic_ef","geo","time","values"
"TOTAL","TOTAL","HOLD_HOLD","FR25","2010",23930
"TOTAL","TOTAL","HOLD_HOLD","FR26","2010",20330
"TOTAL","TOTAL","HOLD_HOLD","FR30","2010",13460
"TOTAL","TOTAL","HOLD_HOLD","FR41","2010",12660
"TOTAL","TOTAL","HOLD_HOLD","FR42","2010",12020
"TOTAL","TOTAL","HOLD_HOLD","FR43","2010",9810
"TOTAL","TOTAL","HOLD_HOLD","FR51","2010",34360
"TOTAL","TOTAL","HOLD_HOLD","FR52","2010",34450
"TOTAL","TOTAL","HOLD_HOLD","FR53","2010",25450
"TOTAL","TOTAL","HOLD_HOLD","FR61","2010",43180
"TOTAL","TOTAL","HOLD_HOLD","FR62","2010",47900
"TOTAL","TOTAL","HOLD_HOLD","FR63","2010",14640
"TOTAL","TOTAL","HOLD_HOLD","FR71","2010",39260
"TOTAL","TOTAL","HOLD_HOLD","FR72","2010",23780
"TOTAL","TOTAL","HOLD_HOLD","FR81","2010",30820
"TOTAL","TOTAL","HOLD_HOLD","FR82","2010",22440
"TOTAL","TOTAL","HOLD_HOLD","FR83","2010",2830
"TOTAL","TOTAL","HOLD_HOLD","FR91","2010",7810
"TOTAL","TOTAL","HOLD_HOLD","FR92","2010",3310
"TOTAL","TOTAL","HOLD_HOLD","FR93","2010",5980
"TOTAL","TOTAL","HOLD_HOLD","FR94","2010",7620
"TOTAL","TOTAL","HOLD_HOLD","HR03","2010",54410
"TOTAL","TOTAL","HOLD_HOLD","HR04","2010",178870
"TOTAL","TOTAL","HOLD_HOLD","HU10","2010",46320
"TOTAL","TOTAL","HOLD_HOLD","HU21","2010",52560
"TOTAL","TOTAL","HOLD_HOLD","HU22","2010",61110
"TOTAL","TOTAL","HOLD_HOLD","HU23","2010",74970
"TOTAL","TOTAL","HOLD_HOLD","HU31","2010",73570
"TOTAL","TOTAL","HOLD_HOLD","HU32","2010",143910
"TOTAL","TOTAL","HOLD_HOLD","HU33","2010",124380
"TOTAL","TOTAL","HOLD_HOLD","IE01","2010",73890
"TOTAL","TOTAL","HOLD_HOLD","IE02","2010",65990
"TOTAL","TOTAL","HOLD_HOLD","IS00","2010",2590
"TOTAL","TOTAL","HOLD_HOLD","ITC1","2010",67150
"TOTAL","TOTAL","HOLD_HOLD","ITC2","2010",3550
"TOTAL","TOTAL","HOLD_HOLD","ITC3","2010",20210
"TOTAL","TOTAL","HOLD_HOLD","ITC4","2010",54330
"TOTAL","TOTAL","HOLD_HOLD","ITF1","2010",66840
"TOTAL","TOTAL","HOLD_HOLD","ITF2","2010",26270
"TOTAL","TOTAL","HOLD_HOLD","ITF3","2010",136870
"TOTAL","TOTAL","HOLD_HOLD","ITF4","2010",271750
"TOTAL","TOTAL","HOLD_HOLD","ITF5","2010",51760
"TOTAL","TOTAL","HOLD_HOLD","ITF6","2010",137790
"TOTAL","TOTAL","HOLD_HOLD","ITG1","2010",219680
"TOTAL","TOTAL","HOLD_HOLD","ITG2","2010",60810
"TOTAL","TOTAL","HOLD_HOLD","ITH1","2010",20250
"TOTAL","TOTAL","HOLD_HOLD","ITH2","2010",16450
"TOTAL","TOTAL","HOLD_HOLD","ITH3","2010",119380
"TOTAL","TOTAL","HOLD_HOLD","ITH4","2010",22320
"TOTAL","TOTAL","HOLD_HOLD","ITH5","2010",73470
"TOTAL","TOTAL","HOLD_HOLD","ITI1","2010",72690
"TOTAL","TOTAL","HOLD_HOLD","ITI2","2010",36240
"TOTAL","TOTAL","HOLD_HOLD","ITI3","2010",44870
"TOTAL","TOTAL","HOLD_HOLD","ITI4","2010",98220
"TOTAL","TOTAL","HOLD_HOLD","LT00","2010",199910
"TOTAL","TOTAL","HOLD_HOLD","LU00","2010",2200
"TOTAL","TOTAL","HOLD_HOLD","LV00","2010",83390
"TOTAL","TOTAL","HOLD_HOLD","ME00","2010",48870
"TOTAL","TOTAL","HOLD_HOLD","MT00","2010",12530
"TOTAL","TOTAL","HOLD_HOLD","NL11","2010",3360
"TOTAL","TOTAL","HOLD_HOLD","NL12","2010",5750
"TOTAL","TOTAL","HOLD_HOLD","NL13","2010",3780
"TOTAL","TOTAL","HOLD_HOLD","NL21","2010",8910
"TOTAL","TOTAL","HOLD_HOLD","NL22","2010",12360
"TOTAL","TOTAL","HOLD_HOLD","NL23","2010",1890
"TOTAL","TOTAL","HOLD_HOLD","NL31","2010",2940
"TOTAL","TOTAL","HOLD_HOLD","NL32","2010",5010
"TOTAL","TOTAL","HOLD_HOLD","NL33","2010",7250
"TOTAL","TOTAL","HOLD_HOLD","NL34","2010",3240
"TOTAL","TOTAL","HOLD_HOLD","NL41","2010",12900
"TOTAL","TOTAL","HOLD_HOLD","NL42","2010",4940
"TOTAL","TOTAL","HOLD_HOLD","NO01","2010",2430
"TOTAL","TOTAL","HOLD_HOLD","NO02","2010",8900
"TOTAL","TOTAL","HOLD_HOLD","NO03","2010",8140
"TOTAL","TOTAL","HOLD_HOLD","NO04","2010",6670
"TOTAL","TOTAL","HOLD_HOLD","NO05","2010",9670
"TOTAL","TOTAL","HOLD_HOLD","NO06","2010",6760
"TOTAL","TOTAL","HOLD_HOLD","NO07","2010",4050
"TOTAL","TOTAL","HOLD_HOLD","PL11","2010",131370
"TOTAL","TOTAL","HOLD_HOLD","PL12","2010",225860
"TOTAL","TOTAL","HOLD_HOLD","PL21","2010",153440
"TOTAL","TOTAL","HOLD_HOLD","PL22","2010",61050
"TOTAL","TOTAL","HOLD_HOLD","PL31","2010",190070
"TOTAL","TOTAL","HOLD_HOLD","PL32","2010",140650
"TOTAL","TOTAL","HOLD_HOLD","PL33","2010",98870
"TOTAL","TOTAL","HOLD_HOLD","PL34","2010",84740
