"milkitem","dairyprod","geo","time","values"
"PRO","D1110A","TR33","2016",1001.34
"PRO","D1110A","TR41","2016",465.59
"PRO","D1110A","TR42","2016",486.72
"PRO","D1110A","TR51","2016",251.33
"PRO","D1110A","TR52","2016",1069.38
"PRO","D1110A","TR61","2016",713.77
"PRO","D1110A","TR62","2016",395.27
"PRO","D1110A","TR63","2016",452.54
"PRO","D1110A","TR71","2016",807.33
"PRO","D1110A","TR72","2016",947.39
"PRO","D1110A","TR81","2016",155.29
"PRO","D1110A","TR82","2016",535.18
"PRO","D1110A","TR83","2016",950.36
"PRO","D1110A","TR90","2016",594.69
"PRO","D1110A","TRA1","2016",938.45
"PRO","D1110A","TRA2","2016",1210.58
"PRO","D1110A","TRB1","2016",482.69
"PRO","D1110A","TRB2","2016",535.87
"PRO","D1110A","TRC1","2016",325.1
"PRO","D1110A","TRC2","2016",572.39
"PRO","D1110A","TRC3","2016",242.75
"PRO","D1110A","UKC1","2016",63
"PRO","D1110A","UKD1","2016",865
"PRO","D1110A","UKD3","2016",28
"PRO","D1110A","UKD4","2016",545
"PRO","D1110A","UKD6","2016",752
"PRO","D1110A","UKE1","2016",32
"PRO","D1110A","UKE2","2016",517
"PRO","D1110A","UKE3","2016",39
"PRO","D1110A","UKE4","2016",83
"PRO","D1110A","UKF1","2016",374
"PRO","D1110A","UKF2","2016",199
"PRO","D1110A","UKF3","2016",45
"PRO","D1110A","UKG1","2016",230
"PRO","D1110A","UKG2","2016",1060
"PRO","D1110A","UKG3","2016",11
"PRO","D1110A","UKH1","2016",85
"PRO","D1110A","UKH3","2016",17
"PRO","D1110A","UKI5","2016",0
"PRO","D1110A","UKI6","2016",0
"PRO","D1110A","UKI7","2016",0
"PRO","D1110A","UKJ1","2016",141
"PRO","D1110A","UKJ2","2016",177
"PRO","D1110A","UKJ3","2016",113
"PRO","D1110A","UKK1","2016",630
"PRO","D1110A","UKK2","2016",1172
"PRO","D1110A","UKK3","2016",577
"PRO","D1110A","UKK4","2016",1080
"PRO","D1110A","UKL1","2016",1431
"PRO","D1110A","UKL2","2016",558
"PRO","D1110A","UKM2","2016",163
"PRO","D1110A","UKM3","2016",1092
"PRO","D1110A","UKM5","2016",60
"PRO","D1110A","UKM6","2016",87
"PRO","D1110A","UKM7","2016",163
"PRO","D1110A","UKN0","2016",2537
"PRO","D1110A","AT11","2015",28.95
"PRO","D1110A","AT12","2015",697.25
"PRO","D1110A","AT13","2015",0
"PRO","D1110A","AT21","2015",224.02
"PRO","D1110A","AT22","2015",547.14
"PRO","D1110A","AT31","2015",1117.98
"PRO","D1110A","AT32","2015",362.43
"PRO","D1110A","AT33","2015",384.51
"PRO","D1110A","AT34","2015",175.48
"PRO","D1110A","BE10","2015",0
"PRO","D1110A","BE21","2015",651.61
"PRO","D1110A","BE22","2015",298.69
"PRO","D1110A","BE23","2015",600.56
"PRO","D1110A","BE24","2015",117.37
"PRO","D1110A","BE25","2015",723.94
"PRO","D1110A","BE31","2015",52.49
"PRO","D1110A","BE32","2015",394.2
"PRO","D1110A","BE33","2015",598.44
"PRO","D1110A","BE34","2015",186.41
